timestamp,action,user,details
2026-08-23 11:35:40,Account status changed,priti,Suspended
2026-08-23 11:35:48,Account status changed,admin,Suspended
2026-08-23 11:35:50,Account status changed,priti,Active
2026-08-23 11:36:04,Account status changed,priti,Suspended
2026-08-23 11:36:23,Account status changed,admin,Active
2026-08-23 11:36:27,Account status changed,priti,Active
2026-09-03 10:14:28,Account status changed,admin,Suspended
2026-09-03 10:14:32,Account status changed,admin,Active
2026-09-03 10:14:36,Account status changed,admin,Suspended
2026-09-03 10:15:06,Password reset,priti,
2026-09-03 10:43:04,Account status changed,admin,Active
2026-09-03 10:43:12,Account status changed,admin,Suspended
2026-09-03 10:43:22,Account status changed,admin,Active
2026-09-03 11:14:06,Account status changed,admin,Suspended
2026-09-03 11:14:10,Account status changed,admin,Active
2026-09-03 11:14:23,Account status changed,pooja,Suspended
2026-09-03 11:14:31,Account status changed,pooja,Active
2026-09-03 11:14:37,Account status changed,admin,Suspended
2026-09-03 11:14:44,Account status changed,admin,Active
