company_name,gst_number,contact_person,designation,website,contact_number,address,state,district,location,company_turnover,owner_name,number_of_staff,products_selected,company_valuation,note,call_conversion_time,company_data_sent,enquiry_received,communication_details,meeting_schedule_time,meeting_agenda,meeting_completed_details,photo_files
Win Win Distribution Pvt Ltd,36AACCU6142Q1ZT,R.HYMAVATHI,sales,https://winwindistribution.in/,9849993375,"Win Win Hub, 4th Floor, C Block Khanamet, Madhapur, HITEC City, Hyderabad, Telangana 500081",maharatra,pune,"Win Win Distribution Private Limited, Win Win Hub, 4th Floor, C Block Khanamet, Madhapur, HITEC City, Hyderabad, Telangana 500081",12,sunny,12,"Booster Pump System, STP, Water Meter, BMS, RO, De-watering Panel, Water Softener, Pump Skid","Work in VFD Panel, Work in Dewatering, Distributor (wilo)",,00 hrs 00 mins,No,Yes,,,,,
AJANI COMPAY,,satyanaray,,,9246607214,,,,,,,,,,,00 hrs 00 mins,No,Yes,,,,,
Revolve Engineers,36ABZPK0100F3ZU,palepu manish,electrical engineer,http://revolveengineers.com,9390425129,"Agromech Avenue, Industrial Estate, C 7 & 8, Sanath Nagar IE, Sanath Nagar, Hyderabad, Telangana 500018",,,"google.com/maps?rlz=1C1VDKB_enIN1156IN1156&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDwyBggCEEUYPDIGCAMQRRg80gEHNTEyajBqN6gCALACAA&um=1&ie=UTF-8&fb=1&gl=in&sa=X&geocode=KS1NCf62kMs7MfTGhLr-vSln&daddr=Agromech+Avenue,+Industrial+Estate,+C+7+%26+8,+Sanath+Nagar+IE,+Sanath+Nagar,+Hyderabad,+Telangana+500018",,,,,,,,,,,,,,
Revolve Engineers,36ABZPK0100F3ZU,kenneth,tech support,http://revolveengineers.com,7330862229,"Agromech Avenue, Industrial Estate, C 7 & 8, Sanath Nagar IE, Sanath Nagar, Hyderabad, Telangana 500018",,,"google.com/maps?rlz=1C1VDKB_enIN1156IN1156&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDwyBggCEEUYPDIGCAMQRRg80gEHNTEyajBqN6gCALACAA&um=1&ie=UTF-8&fb=1&gl=in&sa=X&geocode=KS1NCf62kMs7MfTGhLr-vSln&daddr=Agromech+Avenue,+Industrial+Estate,+C+7+%26+8,+Sanath+Nagar+IE,+Sanath+Nagar,+Hyderabad,+Telangana+500018",,,,,,,,,,,,,,
RKS Engineering Company,,salman khan,,https://www.rkse.co.in/,9.19E+11,"Plot no 97, Sri Sai Oxford Terrace, Rashtrapati Rd, Hyder Basti, Jeera, Secunderabad, Telangana 500003",,,"https://www.google.com/maps/place/RKS+Engineering+Company/@17.4290055,78.4908393,3a,75y,73.71h,92.14t/data=!3m7!1e1!3m5!1sq_NBSNwTtpS36paiq0LGxA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-2.141052513017712%26panoid%3Dq_NBSNwTtpS36paiq0LGxA%26yaw%3D73.71340075251011!7i16384!8i8192!4m14!1m7!3m6!1s0x3bcb9b1d05cdc217:0x47c2ea606df24d9a!2sRKS+Engineering+Company!8m2!3d17.4289255!4d78.4908405!16s%2Fg%2F11kqf2gk1m!3m5!1s0x3bcb9b1d05cdc217:0x47c2ea606df24d9a!8m2!3d17.4289255!4d78.4908405!16s%2Fg%2F11kqf2gk1m!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDgxMi4wIKXMDSoASAFQAw%3D%3D",,,,,,,,,,,,,,
BI Marketing and Services P Ltd,33AABCB4871G1ZW,reseption,,https://www.bigroup.in/,,"Door No. 5, Plot no. 11, Ravi Colony, Tirumalagiri, Secunderabad, Hyderabad, Telangana 500015",,,"https://www.google.com/maps/dir//BI+Marketing+and+Services+P+Ltd,+Door+No.+5,+Plot+no.+11,+Ravi+Colony,+Tirumalagiri,+Secunderabad,+Hyderabad,+Telangana+500015/@17.4755656,78.3045558,15z/data=!4m8!4m7!1m0!1m5!1m1!1s0x3bcb9b2619e41c71:0x838610957a377d73!2m2!1d78.5092144!2d17.4694847?entry=ttu&g_ep=EgoyMDI2MDgxMi4wIKXMDSoASAFQAw%3D%3D",,,,,,,,,,,,,,
Vijayadurga Engineers,,dharanidhara reddy . k,,,90599 22339,"Plot No 97, 5-5-35/54A Industrial Development Area, Prashanti Nagar, IDA Kukatpally, Hyderabad, Telangana 500072",,,"google.com/maps?rlz=1C1VDKB_enIN1156IN1156&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRiPAjIHCAIQIRiPAtIBBzM4MGowajeoAgCwAgA&um=1&ie=UTF-8&fb=1&gl=in&sa=X&geocode=KXFZm6ukkcs7MSvlJk0YerSL&daddr=Plot+No+97,+5-5-35/54A+Industrial+Development+Area,+Prashanti+Nagar,+IDA+Kukatpally,+Hyderabad,+Telangana+500072",,,,,,,,,,,,,,
RV5E ENGINEERS LLP,36ABHFR4037L1ZV,Goutham Tupakula,managing Partner,www.rvengineers.in,8464824161,"103, 8-2-268/4, Banjara Hills Rd Number 3, Venkateshwara Nagar, Sri Nagar Colony, Aurora Colony, Banjara Hills, Hyderabad, Telangana 500073",,,"google.com/maps?rlz=1C1VDKB_enIN1156IN1156&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigATIHCAIQIRigATIHCAMQIRiPAjIHCAQQIRiPAtIBCDIxODJqMGo3qAIAsAIA&um=1&ie=UTF-8&fb=1&gl=in&sa=X&geocode=KZcLiZcdmss7MYQVQHvIPofl&daddr=103,+8-2-268/4,+Banjara+Hills+Rd+Number+3,+Venkateshwara+Nagar,+Sri+Nagar+Colony,+Aurora+Colony,+Banjara+Hills,+Hyderabad,+Telangana+500073",,,,,,,,,,,,,,
pushkal engineers,,A. Srikanth Reddy,managing Partner,https://pushkalengineers.com/,9014523347,"Ramanthapur, Chenna Reddy Nagar, Amberpet, Hyderabad, Telangana 500013",,,"https://www.google.com/maps/dir//Pushkal+Engineers,+Ramanthapur,+Chenna+Reddy+Nagar,+Amberpet,+Hyderabad,+Telangana+500013/@17.4755656,78.3045558,2699m/data=!3m1!1e3!4m8!4m7!1m0!1m5!1m1!1s0x3bcb99b90a74194d:0x9d31c24dab855e3e!2m2!1d78.5277005!2d17.390028?entry=ttu&g_ep=EgoyMDI2MDgxNy4wIKXMDSoASAFQAw%3D%3D",,,,,,,,,,,,,,
Naga Pumps Private Limited,36AAACN6906F1ZL,Arvid reddy,purchase,https://www.nagapumps.com/,9989044765,"Plot No 45/A, Mallapur IDA, Phase-1, Mallapur, Hyderabad, Telangana 500076",,,"https://www.google.com/maps?rlz=1C1VDKB_enIN1156IN1156&sca_esv=f1e464e6e7e851fc&sxsrf=APpeQnuuA6oSXiAia05vEjqm6HoRcsFA3A:1787103907811&biw=1280&bih=559&gs_lp=Egxnd3Mtd2l6LXNlcnAiCm5hZ2EgcHVtcHMyFBAuGIAEGIoFGJECGMcBGK8BGI4FMggQLhiABBixAzIIEC4YsQMYgAQyCBAAGIAEGLEDMgUQABiABDIIEC4YsQMYgAQyCxAuGIAEGMcBGK8BMggQABiABBixAzIIEC4YgAQYsQMyCBAAGIAEGLEDSKwTUABYtAZwAHgBkAEAmAG3AaAB8gWqAQMwLjWwAQC4AQHIAQD4AQGYAgWgApMGwgILEAAYgAQYigUYkQLCAgsQABiABBixAxiDAcICERAuGIAEGLEDGIMBGMcBGNEDwgIKEAAYgAQYigUYQ8ICERAuGIAEGIoFGJECGMcBGK8BwgIKEC4YgAQYigUYQ8ICEBAuGIAEGIoFGEMYxwEY0QPCAg4QLhiABBixAxjHARjRA5gDAOIDBBgAIF3iAwQYACBe4gMEGAAgX-IDBBgAIGDiAwQYACBh4gMEGAAgYpIHAzAuNaAH42KyBwMwLjW4B5MGwgcDMi01yAcagAgB&um=1&ie=UTF-8&fb=1&gl=in&sa=X&geocode=KQEAAEAdnMs7MVr4wk9CqwEj&daddr=Plot+No+45/A,+Mallapur+IDA,+Phase-1,+Mallapur,+Hyderabad,+Telangana+500076",,,,,,,,,,,,,,
