Item_Name,Category,SUB Category,Capacity,Qty,DP
Controller 1,Controller,1,1 Unit,1,0.0
POWER SUPPLY 1,POWER SUPPLY,1,12V/24V,1,0.0
switch LOAD BREAKER,switch,LOAD BREAKER,45.0A,1,0.0
3 POLE SWITCH DOOR MOUNT (YELLOW) 63A,switch,DOOR MOUNT,45.0A,1,0.0
MCB 3P,MCB,3P,56.25A,1,0.0
VFD VFD 3 PHASE,VFD,VFD 3 PHASE,12.284778820375335 HP,1,0.0
CONTACTOR 3 POLE,CONTACTOR,3 POLE,15.0A,6,0.0
FAN COOLING,FAN,COOLING,Standard,1,0.0
FILTER FAN FILTER,FILTER,FAN FILTER,Standard,1,0.0
ACCESSORIES ENDLOCK,ACCESSORIES,ENDLOCK,DIN Rail,4,0.0
