Category,SUB Category,Item Name,CAPACITY,Unit,Supplier,List Price,Discount,DP
Controller,1,AI-PCU02 WITH HMI DISPLAY ,1,Nos,Saark Exploration Pvt Ltd,50000,50,25000
Controller,2,AI-PCU02 WITH HMI DISPLAY ,2,Nos,Saark Exploration Pvt Ltd,39000,50,19500
Controller,3,AIPCU  HMI CONTROLLER MULTIVFD,3,Nos,Saark Exploration Pvt Ltd,80000,50,40000
Controller,4,AIPCU  HMI CONTROLLER MULTIVFD,4,Nos,Saark Exploration Pvt Ltd,60000,50,30000
Controller,5,DEFENDER ,5,Nos,Saark Exploration Pvt Ltd,70000,50,35000
Controller,6,HMI CONTROLLER STP,6,Nos,Saark Exploration Pvt Ltd,70000,50,35000
Controller,7,HMI CONTROLLER DIESEL (GPS PRDL FTROUTER),7,Nos,Saark Exploration Pvt Ltd,107000,50,53500
Controller,8,AI-PCU01,8,Nos,Saark Exploration Pvt Ltd,32000,50,16000
Controller,9,DLC02,9,Nos,Saark Exploration Pvt Ltd,11500,50,5750
Controller,10,DLC02 DEWATERING ,10,Nos,Saark Exploration Pvt Ltd,11500,65,4025
Controller,11,DLC02 DEWATERING (THERMAL AND MOISTURE) ,11,Nos,Saark Exploration Pvt Ltd,9500,0,9500
Controller,12,DLC PCB,12,Nos,Saark Exploration Pvt Ltd,11500,70,3450
Controller,13,DLC VFD,13,Nos,Saark Exploration Pvt Ltd,30000,50,15000
Controller,14,DLC VFD T SURESH ,14,Nos,Saark Exploration Pvt Ltd,9500,0,9500
POWER SUPPLY,1,AI-PCU POWER SUPPLY,1,Nos,Saark Exploration Pvt Ltd,900,35,585
POWER SUPPLY,2,DLC POWER SUPPLY ,2,Nos,Saark Exploration Pvt Ltd,900,45,495
Switch ,1,RELAY CARD FOR MANUAL PROTECTION,1,Nos,Saark Exploration Pvt Ltd,640,50,320
CT COIL,30-02 HOLE,30amp CT With Wire (2 HOLE),30,Nos,Saark Exploration Pvt Ltd,250,50,125
CT COIL,30-03 HOLE,30amp CT With Wire (3 HOLE ) ,30,Nos,Saark Exploration Pvt Ltd,300,47,159
CT COIL,60-03 HOLE,60amp CT With Wire (3 HOLE ) ,60,Nos,Saark Exploration Pvt Ltd,1500,47,795
CT COIL,30-02 HOLE,100amp CT With Wire (2 HOLE ) ,10,Nos,Saark Exploration Pvt Ltd,2000,47,1060
CT COIL,600/5 HOLE,600/5 amp CT With Wire ,600,Nos,Saark Exploration Pvt Ltd,4000,47,2120
MCB,1P,MCB 1P 1A,1,Nos,Satyam,902,70,270.6
MCB,1P,MCB 1P 2A,2,Nos,Satyam,902,70,270.6
MCB,1P,MCB 1P 3A,3,Nos,Satyam,902,70,270.6
MCB,1P,MCB 1P 4A,4,Nos,Satyam,902,70,270.6
MCB,1P,MCB 1P 6A,6,Nos,Satyam,535,70,160.5
MCB,1P,MCB 1P 10A,10,Nos,Satyam,535,70,160.5
MCB,1P,MCB 1P 16A,16,Nos,Satyam,535,70,160.5
MCB,1P,MCB 1P 20A,20,Nos,Satyam,535,70,160.5
MCB,1P,MCB 1P 25A,,Nos,Satyam,535,70,160.5
MCB,1P,MCB 1P 32A,,Nos,Satyam,535,70,160.5
MCB,1P,MCB 1P 40A,,Nos,Satyam,1277,70,383.1
MCB,1P,MCB 1P 50A,,Nos,Satyam,1277,70,383.1
MCB,1P,MCB 1P 63A,,Nos,Satyam,1295,70,388.5
MCB,2P,MCB 2P 1A,,Nos,Satyam,2570,70,771
MCB,2P,MCB 2P 2A,,Nos,Satyam,2570,70,771
MCB,2P,MCB 2P 3A,,Nos,Satyam,2570,70,771
MCB,2P,MCB 2P 4A,,Nos,Satyam,2570,70,771
MCB,2P,MCB 2P 6A,,Nos,Satyam,1857,70,557.1
MCB,2P,MCB 2P 10A,,Nos,Satyam,1857,70,557.1
MCB,2P,MCB 2P 16A,,Nos,Satyam,1857,70,557.1
MCB,2P,MCB 2P 20A,,Nos,Satyam,1857,70,557.1
MCB,2P,MCB 2P 25A,,Nos,Satyam,1857,70,557.1
MCB,2P,MCB 2P 32A,,Nos,Satyam,1857,70,557.1
MCB,2P,MCB 2P 40A,,Nos,Satyam,2989,70,896.7
MCB,2P,MCB 2P 50A,,Nos,Satyam,2989,70,896.7
MCB,2P,MCB 2P 63A,,Nos,Satyam,3014,70,904.2
MCB,3P,MCB 3P 1A,,Nos,Satyam,4057,70,1217.1
MCB,3P,MCB 3P 2A,,Nos,Satyam,4057,70,1217.1
MCB,3P,MCB 3P 3A,,Nos,Satyam,4057,70,1217.1
MCB,3P,MCB 3P 4A,,Nos,Satyam,4057,70,1217.1
MCB,3P,MCB 3P 6A,,Nos,Satyam,3080,70,924
MCB,3P,MCB 3P 10A,,Nos,Satyam,3080,70,924
MCB,3P,MCB 3P 16A,,Nos,Satyam,3080,70,924
MCB,3P,MCB 3P 20A,,Nos,Satyam,3080,70,924
MCB,3P,MCB 3P 25A,,Nos,Satyam,3080,70,924
MCB,3P,MCB 3P 32A,,Nos,Satyam,3080,70,924
MCB,3P,MCB 3P 40A ,,Nos,Satyam,4691,70,1407.3
